Pokemon Name,Abilities,Moves
nidoking,"poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, cut, double-kick, mega-kick, headbutt, horn-attack, fury-attack, horn-drill, tackle, body-slam, take-down, thrash, double-edge, poison-sting, leer, roar, supersonic, flamethrower, water-gun, surf, ice-beam, blizzard, bubble-beam, hyper-beam, peck, submission, counter, seismic-toss, strength, thunderbolt, thunder, earthquake, fissure, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, fire-blast, skull-bash, amnesia, rest, rock-slide, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, icy-wind, detect, outrage, sandstorm, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, megahorn, iron-tail, hidden-power, rain-dance, sunny-day, shadow-ball, rock-smash, whirlpool, beat-up, uproar, torment, flatter, facade, focus-punch, taunt, helping-hand, superpower, brick-break, secret-power, rock-tomb, sand-tomb, mud-shot, rock-blast, shock-wave, water-pulse, natural-gift, fling, sucker-punch, toxic-spikes, poison-jab, aqua-tail, dragon-pulse, focus-blast, earth-power, giga-impact, avalanche, shadow-claw, rock-climb, stone-edge, captivate, stealth-rock, hone-claws, venoshock, smack-down, sludge-wave, round, echoed-voice, chip-away, hex, incinerate, quash, bulldoze, dragon-tail, drill-run, confide, venom-drench, power-up-punch, high-horsepower, throat-chop, smart-strike, stomping-tantrum, body-press, scorching-sands"
clefairy,"cute-charm, magic-guard, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, growl, sing, flamethrower, water-gun, ice-beam, blizzard, psybeam, bubble-beam, submission, counter, seismic-toss, strength, solar-beam, thunderbolt, thunder-wave, thunder, dig, toxic, psychic, rage, teleport, night-shade, mimic, double-team, minimize, defense-curl, light-screen, reflect, bide, metronome, fire-blast, swift, skull-bash, amnesia, soft-boiled, dream-eater, flash, psywave, splash, rest, tri-attack, substitute, thief, nightmare, snore, curse, protect, sweet-kiss, mud-slap, zap-cannon, icy-wind, detect, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, present, frustration, safeguard, dynamic-punch, baton-pass, encore, iron-tail, moonlight, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, rock-smash, uproar, facade, focus-punch, follow-me, helping-hand, trick, role-play, wish, magic-coat, recycle, brick-break, knock-off, endeavor, skill-swap, imprison, snatch, secret-power, hyper-voice, meteor-mash, fake-tears, tickle, cosmic-power, signal-beam, bounce, covet, magical-leaf, calm-mind, shock-wave, water-pulse, gravity, wake-up-slap, healing-wish, natural-gift, fling, lucky-chant, copycat, last-resort, drain-punch, zen-headbutt, captivate, stealth-rock, grass-knot, charge-beam, wonder-room, psyshock, telekinesis, after-you, round, echoed-voice, stored-power, ally-switch, heal-pulse, incinerate, retaliate, bestow, work-up, disarming-voice, draining-kiss, misty-terrain, play-rough, fairy-wind, moonblast, confide, mystical-fire, dazzling-gleam, baby-doll-eyes, power-up-punch, spotlight, life-dew, meteor-beam, misty-explosion, dual-wingbeat, tera-blast, chilling-water, alluring-voice"
clefable,"cute-charm, magic-guard, unaware","pound, double-slap, mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, tackle, body-slam, take-down, double-edge, growl, sing, flamethrower, water-gun, ice-beam, blizzard, psybeam, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, thunderbolt, thunder-wave, thunder, dig, toxic, psychic, rage, teleport, night-shade, mimic, double-team, minimize, defense-curl, light-screen, reflect, bide, metronome, fire-blast, swift, skull-bash, amnesia, soft-boiled, dream-eater, flash, psywave, splash, rest, tri-attack, substitute, thief, nightmare, snore, curse, protect, sweet-kiss, mud-slap, zap-cannon, icy-wind, detect, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, present, frustration, safeguard, dynamic-punch, baton-pass, encore, iron-tail, moonlight, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, future-sight, rock-smash, uproar, facade, focus-punch, follow-me, helping-hand, trick, role-play, wish, magic-coat, recycle, brick-break, knock-off, endeavor, skill-swap, imprison, snatch, secret-power, hyper-voice, meteor-mash, fake-tears, tickle, cosmic-power, signal-beam, bounce, covet, magical-leaf, calm-mind, shock-wave, water-pulse, gravity, healing-wish, natural-gift, fling, copycat, last-resort, drain-punch, focus-blast, giga-impact, zen-headbutt, captivate, stealth-rock, grass-knot, charge-beam, wonder-room, psyshock, telekinesis, after-you, round, echoed-voice, stored-power, ally-switch, heal-pulse, incinerate, retaliate, work-up, disarming-voice, draining-kiss, misty-terrain, play-rough, fairy-wind, moonblast, confide, mystical-fire, dazzling-gleam, baby-doll-eyes, power-up-punch, spotlight, laser-focus, life-dew, meteor-beam, misty-explosion, dual-wingbeat, tera-blast, chilling-water, alluring-voice"
vulpix,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge, tail-whip, roar, disable, ember, flamethrower, fire-spin, dig, toxic, hypnosis, agility, quick-attack, rage, mimic, double-team, confuse-ray, reflect, bide, fire-blast, swift, skull-bash, rest, substitute, flame-wheel, snore, curse, flail, spite, protect, feint-attack, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, pain-split, baton-pass, encore, iron-tail, hidden-power, sunny-day, psych-up, heat-wave, will-o-wisp, memento, facade, helping-hand, role-play, imprison, grudge, secret-power, weather-ball, overheat, extrasensory, howl, covet, healing-wish, natural-gift, payback, power-swap, flare-blitz, dark-pulse, energy-ball, nasty-plot, zen-headbutt, captivate, ominous-wind, flame-burst, flame-charge, foul-play, round, hex, incinerate, inferno, tail-slap, snarl, confide, mystical-fire, baby-doll-eyes, burning-jealousy, tera-blast"
ninetales,"flash-fire, drought","headbutt, tackle, body-slam, take-down, double-edge, tail-whip, roar, disable, ember, flamethrower, hyper-beam, solar-beam, fire-spin, dig, toxic, hypnosis, agility, quick-attack, rage, night-shade, mimic, double-team, confuse-ray, reflect, bide, fire-blast, swift, skull-bash, dream-eater, rest, substitute, flame-wheel, snore, curse, flail, spite, protect, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, pain-split, baton-pass, encore, iron-tail, hidden-power, sunny-day, psych-up, shadow-ball, heat-wave, will-o-wisp, memento, facade, helping-hand, role-play, imprison, grudge, secret-power, weather-ball, fake-tears, overheat, extrasensory, howl, covet, calm-mind, healing-wish, natural-gift, payback, power-swap, flare-blitz, dark-pulse, energy-ball, giga-impact, nasty-plot, zen-headbutt, captivate, ominous-wind, psyshock, flame-charge, foul-play, round, stored-power, hex, incinerate, inferno, tail-slap, snarl, confide, mystical-fire, baby-doll-eyes, laser-focus, burning-jealousy, scorching-sands, tera-blast"
jigglypuff,"cute-charm, competitive, friend-guard","pound, double-slap, mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, sing, disable, flamethrower, water-gun, ice-beam, blizzard, bubble-beam, submission, counter, seismic-toss, strength, solar-beam, thunderbolt, thunder-wave, thunder, dig, toxic, psychic, rage, teleport, mimic, screech, double-team, defense-curl, light-screen, reflect, bide, metronome, self-destruct, fire-blast, swift, skull-bash, amnesia, dream-eater, flash, psywave, rest, tri-attack, substitute, thief, nightmare, snore, curse, protect, sweet-kiss, mud-slap, zap-cannon, icy-wind, detect, sandstorm, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, frustration, safeguard, pain-split, dynamic-punch, baton-pass, encore, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, stockpile, spit-up, swallow, facade, focus-punch, taunt, helping-hand, role-play, magic-coat, recycle, brick-break, knock-off, endeavor, skill-swap, snatch, secret-power, hyper-voice, fake-tears, bounce, covet, magical-leaf, calm-mind, shock-wave, water-pulse, gravity, wake-up-slap, gyro-ball, natural-gift, fling, copycat, last-resort, dark-pulse, drain-punch, energy-ball, nasty-plot, zen-headbutt, captivate, stealth-rock, grass-knot, charge-beam, psyshock, telekinesis, round, echoed-voice, stored-power, ally-switch, incinerate, retaliate, work-up, wild-charge, disarming-voice, draining-kiss, misty-terrain, play-rough, play-nice, confide, dazzling-gleam, power-up-punch, body-press, steel-roller, misty-explosion, tera-blast, ice-spinner, trailblaze, chilling-water, alluring-voice, psychic-noise"
wigglytuff,"cute-charm, competitive, frisk","pound, double-slap, mega-punch, fire-punch, ice-punch, thunder-punch, mega-kick, headbutt, body-slam, take-down, double-edge, sing, disable, flamethrower, water-gun, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, solar-beam, thunderbolt, thunder-wave, thunder, dig, toxic, psychic, rage, teleport, mimic, screech, double-team, minimize, defense-curl, light-screen, reflect, bide, metronome, self-destruct, fire-blast, swift, skull-bash, amnesia, dream-eater, flash, psywave, rest, tri-attack, substitute, thief, nightmare, snore, curse, protect, sweet-kiss, mud-slap, zap-cannon, icy-wind, detect, sandstorm, endure, charm, rollout, swagger, attract, sleep-talk, heal-bell, return, frustration, safeguard, pain-split, dynamic-punch, baton-pass, encore, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, uproar, stockpile, spit-up, swallow, facade, focus-punch, taunt, helping-hand, role-play, magic-coat, recycle, brick-break, knock-off, endeavor, skill-swap, snatch, secret-power, hyper-voice, fake-tears, bounce, covet, magical-leaf, calm-mind, shock-wave, water-pulse, gravity, gyro-ball, natural-gift, fling, copycat, last-resort, dark-pulse, drain-punch, focus-blast, energy-ball, giga-impact, nasty-plot, zen-headbutt, captivate, stealth-rock, grass-knot, charge-beam, psyshock, telekinesis, magic-room, round, echoed-voice, stored-power, ally-switch, incinerate, retaliate, work-up, wild-charge, disarming-voice, draining-kiss, misty-terrain, play-rough, confide, dazzling-gleam, power-up-punch, laser-focus, body-press, expanding-force, steel-roller, misty-explosion, tera-blast, ice-spinner, trailblaze, chilling-water, alluring-voice, psychic-noise"
zubat,"inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly, headbutt, take-down, double-edge, bite, supersonic, absorb, mega-drain, toxic, hypnosis, agility, quick-attack, rage, mimic, double-team, confuse-ray, haze, bide, swift, leech-life, rest, super-fang, substitute, thief, snore, curse, protect, feint-attack, sludge-bomb, detect, giga-drain, endure, swagger, steel-wing, mean-look, attract, sleep-talk, return, frustration, pursuit, hidden-power, twister, rain-dance, sunny-day, crunch, shadow-ball, uproar, heat-wave, torment, facade, taunt, snatch, secret-power, poison-fang, astonish, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, payback, assurance, air-slash, brave-bird, nasty-plot, zen-headbutt, defog, cross-poison, captivate, ominous-wind, venoshock, round, quick-guard, acrobatics, confide, venom-drench, dual-wingbeat"
golbat,"inner-focus, infiltrator","razor-wind, gust, wing-attack, whirlwind, fly, headbutt, take-down, double-edge, bite, supersonic, hyper-beam, absorb, mega-drain, toxic, hypnosis, agility, quick-attack, rage, mimic, screech, double-team, confuse-ray, haze, bide, swift, leech-life, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, detect, giga-drain, endure, swagger, steel-wing, mean-look, attract, sleep-talk, return, frustration, hidden-power, twister, rain-dance, sunny-day, crunch, shadow-ball, uproar, heat-wave, torment, facade, taunt, snatch, secret-power, poison-fang, astonish, air-cutter, aerial-ace, roost, natural-gift, pluck, tailwind, u-turn, payback, assurance, air-slash, brave-bird, giga-impact, nasty-plot, zen-headbutt, defog, cross-poison, captivate, ominous-wind, venoshock, round, quick-guard, acrobatics, confide, venom-drench, dual-wingbeat"
oddish,"chlorophyll, run-away","swords-dance, cut, headbutt, take-down, double-edge, acid, absorb, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, stun-spore, sleep-powder, petal-dance, toxic, rage, mimic, double-team, reflect, bide, flash, rest, substitute, snore, curse, flail, protect, sludge-bomb, giga-drain, endure, charm, swagger, attract, sleep-talk, return, frustration, sweet-scent, synthesis, moonlight, hidden-power, sunny-day, facade, nature-power, helping-hand, ingrain, secret-power, teeter-dance, tickle, bullet-seed, magical-leaf, natural-gift, gastro-acid, lucky-chant, worry-seed, seed-bomb, energy-ball, leaf-storm, captivate, grass-knot, venoshock, acid-spray, after-you, round, grassy-terrain, moonblast, confide, dazzling-gleam, infestation, strength-sap, grassy-glide, tera-blast, trailblaze"
gloom,"chlorophyll, stench","swords-dance, cut, headbutt, take-down, double-edge, acid, absorb, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, stun-spore, sleep-powder, petal-dance, toxic, rage, mimic, double-team, reflect, bide, flash, rest, substitute, snore, curse, flail, protect, sludge-bomb, giga-drain, endure, charm, swagger, attract, sleep-talk, return, frustration, sweet-scent, synthesis, moonlight, hidden-power, sunny-day, facade, nature-power, helping-hand, ingrain, secret-power, teeter-dance, tickle, bullet-seed, magical-leaf, natural-gift, fling, gastro-acid, lucky-chant, worry-seed, seed-bomb, drain-punch, energy-ball, leaf-storm, captivate, grass-knot, venoshock, acid-spray, after-you, round, petal-blizzard, grassy-terrain, moonblast, confide, dazzling-gleam, infestation, strength-sap, pollen-puff, grassy-glide, tera-blast, trailblaze"
vileplume,"chlorophyll, effect-spore","swords-dance, cut, headbutt, body-slam, take-down, double-edge, acid, hyper-beam, absorb, mega-drain, leech-seed, growth, razor-leaf, solar-beam, poison-powder, stun-spore, sleep-powder, petal-dance, toxic, rage, mimic, double-team, reflect, bide, flash, rest, substitute, snore, curse, flail, protect, sludge-bomb, giga-drain, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, sweet-scent, synthesis, moonlight, hidden-power, sunny-day, facade, nature-power, helping-hand, ingrain, secret-power, teeter-dance, weather-ball, aromatherapy, tickle, bullet-seed, magical-leaf, natural-gift, fling, gastro-acid, worry-seed, seed-bomb, drain-punch, energy-ball, giga-impact, leaf-storm, captivate, grass-knot, venoshock, sludge-wave, acid-spray, after-you, round, petal-blizzard, grassy-terrain, moonblast, confide, dazzling-gleam, infestation, strength-sap, solar-blade, pollen-puff, grassy-glide, corrosive-gas, tera-blast, trailblaze"
paras,"effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam, take-down, double-edge, psybeam, counter, absorb, mega-drain, leech-seed, growth, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, dig, toxic, agility, rage, mimic, screech, double-team, light-screen, reflect, bide, skull-bash, leech-life, spore, flash, fury-swipes, rest, slash, substitute, thief, snore, curse, flail, protect, sludge-bomb, giga-drain, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, pursuit, sweet-scent, metal-claw, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, brick-break, knock-off, secret-power, aromatherapy, bullet-seed, aerial-ace, natural-gift, worry-seed, seed-bomb, x-scissor, energy-ball, cross-poison, captivate, grass-knot, bug-bite, hone-claws, wide-guard, venoshock, rage-powder, after-you, round, struggle-bug, rototiller, fell-stinger, grassy-terrain, confide"
parasect,"effect-spore, dry-skin, damp","scratch, swords-dance, cut, headbutt, body-slam, take-down, double-edge, hyper-beam, counter, absorb, mega-drain, leech-seed, growth, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, dig, toxic, rage, mimic, screech, double-team, light-screen, reflect, bide, skull-bash, leech-life, spore, flash, fury-swipes, rest, slash, substitute, thief, snore, curse, protect, sludge-bomb, giga-drain, endure, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, sweet-scent, synthesis, hidden-power, sunny-day, rock-smash, facade, nature-power, brick-break, knock-off, secret-power, aromatherapy, bullet-seed, aerial-ace, natural-gift, worry-seed, seed-bomb, x-scissor, energy-ball, giga-impact, cross-poison, captivate, grass-knot, bug-bite, hone-claws, venoshock, rage-powder, after-you, round, struggle-bug, confide, throat-chop"
venonat,"compound-eyes, tinted-lens, run-away","headbutt, tackle, take-down, double-edge, supersonic, disable, psybeam, mega-drain, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, toxic, confusion, psychic, agility, rage, night-shade, mimic, screech, double-team, confuse-ray, reflect, bide, swift, leech-life, flash, psywave, rest, substitute, thief, snore, curse, protect, sludge-bomb, foresight, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, baton-pass, sweet-scent, morning-sun, hidden-power, sunny-day, facade, endeavor, skill-swap, secret-power, poison-fang, signal-beam, natural-gift, toxic-spikes, bug-buzz, energy-ball, zen-headbutt, captivate, bug-bite, venoshock, rage-powder, acid-spray, round, struggle-bug, confide, infestation, lunge, skitter-smack, tera-blast, pounce, psychic-noise"
venomoth,"shield-dust, tinted-lens, wonder-skin","razor-wind, gust, whirlwind, headbutt, tackle, take-down, double-edge, supersonic, disable, psybeam, hyper-beam, mega-drain, solar-beam, poison-powder, stun-spore, sleep-powder, string-shot, toxic, confusion, psychic, agility, rage, teleport, night-shade, mimic, screech, double-team, confuse-ray, reflect, bide, swift, dream-eater, leech-life, flash, psywave, rest, substitute, thief, snore, curse, protect, sludge-bomb, foresight, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, baton-pass, sweet-scent, hidden-power, twister, sunny-day, facade, endeavor, skill-swap, secret-power, poison-fang, air-cutter, silver-wind, signal-beam, aerial-ace, roost, natural-gift, tailwind, u-turn, toxic-spikes, air-slash, bug-buzz, energy-ball, giga-impact, zen-headbutt, defog, captivate, bug-bite, ominous-wind, venoshock, sludge-wave, quiver-dance, acid-spray, round, acrobatics, struggle-bug, confide, infestation, lunge, skitter-smack, tera-blast, pounce, psychic-noise"
diglett,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, growl, earthquake, fissure, dig, toxic, agility, rage, mimic, screech, double-team, bide, fury-swipes, rest, rock-slide, slash, substitute, thief, snore, curse, reversal, protect, feint-attack, sludge-bomb, mud-slap, sandstorm, endure, charm, swagger, attract, sleep-talk, return, frustration, magnitude, pursuit, hidden-power, sunny-day, ancient-power, rock-smash, beat-up, uproar, memento, facade, helping-hand, endeavor, secret-power, astonish, rock-tomb, sand-tomb, aerial-ace, mud-shot, rock-blast, natural-gift, assurance, sucker-punch, earth-power, shadow-claw, mud-bomb, stone-edge, captivate, stealth-rock, hone-claws, smack-down, foul-play, round, echoed-voice, ally-switch, final-gambit, bulldoze, work-up, confide, throat-chop, stomping-tantrum, scorching-sands, tera-blast"
dugtrio,"sand-veil, arena-trap, sand-force","scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, growl, hyper-beam, earthquake, fissure, dig, toxic, agility, rage, mimic, screech, double-team, bide, fury-swipes, rest, rock-slide, tri-attack, slash, substitute, thief, snore, curse, reversal, protect, sludge-bomb, mud-slap, sandstorm, endure, charm, swagger, attract, sleep-talk, return, frustration, magnitude, hidden-power, sunny-day, rock-smash, beat-up, uproar, facade, endeavor, secret-power, astonish, rock-tomb, sand-tomb, aerial-ace, mud-shot, rock-blast, natural-gift, assurance, sucker-punch, night-slash, earth-power, giga-impact, shadow-claw, mud-bomb, stone-edge, captivate, stealth-rock, hone-claws, smack-down, sludge-wave, foul-play, round, echoed-voice, ally-switch, bulldoze, work-up, rototiller, confide, high-horsepower, throat-chop, stomping-tantrum, scorching-sands, tera-blast"
meowth,"pickup, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam, take-down, double-edge, tail-whip, bite, growl, water-gun, bubble-beam, thunderbolt, thunder-wave, thunder, dig, toxic, hypnosis, agility, rage, mimic, screech, double-team, defense-curl, bide, swift, skull-bash, amnesia, dream-eater, flash, fury-swipes, rest, slash, substitute, thief, nightmare, snore, curse, flail, spite, protect, feint-attack, mud-slap, zap-cannon, icy-wind, detect, endure, charm, false-swipe, swagger, attract, sleep-talk, return, frustration, pain-split, iron-tail, metal-claw, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, fake-out, uproar, torment, facade, taunt, helping-hand, assist, knock-off, endeavor, snatch, secret-power, hyper-voice, fake-tears, odor-sleuth, aerial-ace, covet, shock-wave, water-pulse, natural-gift, feint, u-turn, payback, assurance, punishment, last-resort, dark-pulse, night-slash, seed-bomb, power-gem, nasty-plot, shadow-claw, gunk-shot, captivate, hone-claws, foul-play, round, echoed-voice, retaliate, work-up, snarl, play-rough, confide, throat-chop, lash-out, tera-blast, trailblaze, chilling-water"
persian,"limber, technician, unnerve","pay-day, scratch, cut, headbutt, body-slam, take-down, double-edge, bite, growl, roar, water-gun, bubble-beam, hyper-beam, thunderbolt, thunder-wave, thunder, dig, toxic, hypnosis, agility, rage, mimic, screech, double-team, defense-curl, bide, swift, skull-bash, amnesia, dream-eater, flash, fury-swipes, rest, slash, substitute, thief, nightmare, snore, curse, spite, protect, feint-attack, mud-slap, zap-cannon, icy-wind, detect, endure, charm, false-swipe, swagger, attract, sleep-talk, return, frustration, pain-split, iron-tail, metal-claw, hidden-power, rain-dance, sunny-day, psych-up, shadow-ball, fake-out, uproar, torment, facade, taunt, helping-hand, knock-off, endeavor, snatch, secret-power, hyper-voice, fake-tears, aerial-ace, covet, shock-wave, water-pulse, natural-gift, feint, u-turn, payback, assurance, embargo, last-resort, dark-pulse, night-slash, seed-bomb, power-gem, switcheroo, giga-impact, nasty-plot, shadow-claw, gunk-shot, captivate, hone-claws, foul-play, round, echoed-voice, retaliate, work-up, snarl, play-rough, confide, throat-chop, skitter-smack, lash-out, tera-blast, trailblaze, chilling-water"
psyduck,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, disable, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, submission, low-kick, counter, seismic-toss, strength, dig, toxic, confusion, psychic, hypnosis, rage, mimic, screech, double-team, confuse-ray, light-screen, haze, bide, metronome, waterfall, swift, skull-bash, amnesia, bubble, flash, fury-swipes, rest, substitute, thief, snore, curse, protect, mud-slap, foresight, icy-wind, endure, swagger, attract, sleep-talk, return, frustration, dynamic-punch, encore, iron-tail, hidden-power, cross-chop, rain-dance, psych-up, future-sight, rock-smash, whirlpool, hail, facade, focus-punch, taunt, helping-hand, role-play, brick-break, yawn, knock-off, endeavor, skill-swap, refresh, secret-power, dive, signal-beam, muddy-water, aerial-ace, mud-shot, water-sport, calm-mind, water-pulse, brine, natural-gift, fling, worry-seed, aqua-tail, vacuum-wave, nasty-plot, shadow-claw, mud-bomb, zen-headbutt, captivate, hone-claws, wonder-room, psyshock, telekinesis, synchronoise, soak, low-sweep, simple-beam, round, clear-smog, scald, confide, power-up-punch, liquidation, flip-turn, tera-blast, trailblaze, chilling-water, psychic-noise"
golduck,"damp, cloud-nine, swift-swim","mega-punch, pay-day, ice-punch, scratch, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, disable, water-gun, hydro-pump, surf, ice-beam, blizzard, psybeam, bubble-beam, hyper-beam, submission, low-kick, counter, seismic-toss, strength, dig, toxic, confusion, psychic, hypnosis, rage, mimic, screech, double-team, confuse-ray, light-screen, haze, bide, metronome, waterfall, swift, skull-bash, amnesia, bubble, flash, fury-swipes, rest, substitute, thief, snore, curse, protect, mud-slap, icy-wind, endure, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, psych-up, future-sight, rock-smash, whirlpool, hail, facade, focus-punch, taunt, helping-hand, role-play, brick-break, yawn, knock-off, endeavor, skill-swap, secret-power, dive, signal-beam, muddy-water, aerial-ace, mud-shot, water-sport, calm-mind, water-pulse, brine, natural-gift, fling, me-first, worry-seed, aqua-tail, power-gem, vacuum-wave, focus-blast, giga-impact, nasty-plot, shadow-claw, zen-headbutt, rock-climb, captivate, grass-knot, aqua-jet, hone-claws, wonder-room, psyshock, telekinesis, soak, low-sweep, round, scald, confide, power-up-punch, laser-focus, liquidation, flip-turn, tera-blast, trailblaze, chilling-water, psychic-noise"
mankey,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, scratch, mega-kick, headbutt, body-slam, take-down, thrash, double-edge, leer, submission, low-kick, counter, seismic-toss, strength, thunderbolt, thunder, earthquake, dig, toxic, meditate, rage, mimic, screech, double-team, defense-curl, focus-energy, bide, metronome, swift, skull-bash, fury-swipes, rest, rock-slide, substitute, thief, snore, curse, reversal, spite, protect, scary-face, mud-slap, foresight, detect, outrage, endure, swagger, attract, sleep-talk, return, frustration, dynamic-punch, encore, pursuit, iron-tail, hidden-power, cross-chop, rain-dance, sunny-day, psych-up, rock-smash, beat-up, uproar, facade, focus-punch, smelling-salts, taunt, helping-hand, role-play, revenge, brick-break, endeavor, secret-power, overheat, rock-tomb, aerial-ace, bulk-up, covet, natural-gift, u-turn, close-combat, payback, assurance, fling, punishment, poison-jab, night-slash, seed-bomb, drain-punch, vacuum-wave, focus-blast, shadow-claw, rock-climb, gunk-shot, stone-edge, captivate, hone-claws, smack-down, low-sweep, round, acrobatics, retaliate, final-gambit, bulldoze, work-up, dual-chop, confide, power-up-punch, throat-chop, power-trip, stomping-tantrum, lash-out, tera-blast"
primeape,"vital-spirit, anger-point, defiant","karate-chop, mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, scratch, mega-kick, headbutt, body-slam, take-down, thrash, double-edge, leer, hyper-beam, submission, low-kick, counter, seismic-toss, strength, thunderbolt, thunder, earthquake, dig, toxic, rage, mimic, screech, double-team, defense-curl, focus-energy, bide, metronome, swift, skull-bash, fury-swipes, rest, rock-slide, substitute, thief, snore, curse, reversal, spite, protect, scary-face, mud-slap, detect, outrage, endure, swagger, attract, sleep-talk, return, frustration, dynamic-punch, encore, pursuit, iron-tail, hidden-power, cross-chop, rain-dance, sunny-day, psych-up, rock-smash, uproar, facade, focus-punch, taunt, helping-hand, role-play, brick-break, endeavor, secret-power, overheat, rock-tomb, aerial-ace, bulk-up, covet, natural-gift, u-turn, close-combat, payback, assurance, fling, punishment, poison-jab, seed-bomb, drain-punch, vacuum-wave, focus-blast, giga-impact, shadow-claw, rock-climb, gunk-shot, stone-edge, captivate, stealth-rock, hone-claws, smack-down, low-sweep, round, acrobatics, retaliate, final-gambit, bulldoze, work-up, dual-chop, confide, power-up-punch, throat-chop, stomping-tantrum, lash-out, tera-blast, rage-fist"
growlithe,"intimidate, flash-fire, justified","double-kick, headbutt, body-slam, take-down, thrash, double-edge, leer, bite, roar, ember, flamethrower, strength, dragon-rage, fire-spin, dig, toxic, agility, rage, mimic, double-team, reflect, bide, fire-blast, swift, skull-bash, rest, substitute, thief, flame-wheel, snore, curse, reversal, protect, scary-face, mud-slap, outrage, endure, charm, swagger, attract, sleep-talk, return, frustration, safeguard, dragon-breath, iron-tail, morning-sun, hidden-power, sunny-day, crunch, rock-smash, heat-wave, will-o-wisp, facade, helping-hand, secret-power, overheat, odor-sleuth, aerial-ace, howl, covet, natural-gift, close-combat, flare-blitz, thunder-fang, fire-fang, captivate, flame-burst, flame-charge, round, incinerate, retaliate, wild-charge, snarl, play-rough, confide, burn-up, psychic-fangs, raging-fury, tera-blast, temper-flare"
